"No","NN.sigma","lat","long"
441,0.514045932278113,42.52,313.21
442,0.0271586081568628,42.55,315.82
443,0.021880589851304,43.25,318.5
444,0.0330331397018734,43.633,319.8
445,0.112668445696693,43.951,321.2
446,0.759099561300044,44.95,325.42
447,1.55829523726835,46.392,330.16
448,1.55448324413079,45.884,328.42
449,0.0554324844661008,49.755,318.51
450,0.0010400994623073,49.351,317.38
451,0.0204420362702262,48.85,316.03
452,0.241759858683665,48.633,315.42
453,0.184874793059482,48.5,315
454,0.29585908782479,54.283,311.82
455,0.605981843622751,53.749,310.6
456,0.590236788694857,53.516,310.05
457,0.557637984303808,53.292,309.49
458,0.28140778335636,53.009,308.79
459,0.398321761272845,52.925,308.59
460,0.0120857406612433,52.776,308.21
461,0.272481749647502,52.694,307.99
462,0.0639213385476013,66.231,332.48
463,0.0708125924198215,66.132,332.92
464,0.0440980819022361,66,333.49
465,0.0626398233362492,64.881,330
466,0.340918480728436,63.578,330.01
467,1.01479068625589,61.015,337.85
468,1.20117664547187,60.453,338.34
469,0.985739017135105,59.718,339.09
470,0.643538564388437,58.968,339.8
471,1.05548117509636,59.101,338.22
472,1.51916073762114,60.316,334.79
473,1.06147503662065,60.882,332.98
474,0.564505853148119,61.129,332.22
475,0.508875627126063,60.464,331.23
476,0.511347246095812,59.668,330.18
477,0.897856484260239,59.068,331.92
478,0.99975337517645,58.45,333.58
479,1.02914998847428,57.801,335.2
480,1.02828118411976,57.534,336
481,0.978914304355693,57.234,336.83
482,0.78166459947443,56.215,333.38
483,1.10430628924196,55.394,332.06
484,0.911306380674515,53.2,329.92
485,0.231667076867489,51.533,330.03
486,0.157373600529327,51.25,330.01
487,2.9624013171311,50.63,330.29
488,1.55065584321178,46.666,331.75
489,1.46787200507123,46.65,332.65
490,1.40203824237692,46.831,333.43
491,1.10779749844395,47.448,337.05
492,1.10726817902748,47.683,338.65
493,1.0264544443611,47.916,340.27
494,0.816866748206927,48.167,341.89
495,0.716136337437766,48.417,343.6
496,0.718395904572162,48.55,344.55
497,0.0923373165935318,66.153,332.82
498,0.046743686628051,66.28,333.44
499,0.1169151730355,65.333,331.56
500,0.102238824076022,64.73,330
501,0.789732213360975,62.722,331.9
502,0.768459422711613,62.391,332.89
503,0.454819700140089,62.393,335.27
504,0.331135762432821,62.491,336.41
505,0.51729450486524,61.64,337.31
506,0.149489685420982,61.01,337.84
507,0.49838221111882,60.546,338.28
