Id,yyyymmdd,decy,time,latN,lonW,Depth,Temp,CTD_S,Sal1,Sig-th,O2(1),OxFix,Anom1,CO2,Alk,NO31,NO21,PO41,Si1,POC,PON,TOC,TN,Bact,POP,TDP,SRP,BSi,LSi,Pro,Syn,Piceu,Naneu
1004900512,19921014,1992.78518,1413,31.843,63.952,2.1,25.172,36.338,36.351,24.312,207.1,25.2,8,2014.7,2373.6,0,0,0,0.85,-999,-999,-999,-999,-999,-999,-999,-999,14.69,4.18,-999,-999,-999,-999
1005000403,19921112,1992.86418,1015,31.322,64.298,160.2,19.111,36.618,36.616,26.237,203.7,19.1,-22.7,2081.4,2387.3,1.73,-999,0.1,1.32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000404,19921112,1992.86418,1015,31.322,64.298,141.1,19.566,36.631,36.631,26.129,206.9,19.6,-17.6,2076.1,2392.3,1.19,-999,0.12,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000405,19921112,1992.86418,1015,31.322,64.298,118,20.214,36.692,36.687,25.999,204.3,20.2,-17.4,2077.4,2395.6,0.99,-999,0,0.77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000406,19921112,1992.86418,1015,31.322,64.298,97.5,21.799,36.733,36.736,25.601,206.5,21.8,-9.1,2066.7,2399.4,0.58,-999,0.04,0.69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000407,19921112,1992.86418,1015,31.322,64.298,90.8,22.099,36.73,36.727,25.509,206.6,22.1,-7.8,2066.7,2398.4,0.45,-999,0,0.66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000408,19921112,1992.86418,1015,31.322,64.298,81,23.629,36.568,36.564,24.943,209.2,23.6,0.2,2033.9,2385.2,0,-999,0,0.58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000409,19921112,1992.86418,1015,31.322,64.298,59.4,23.792,36.543,36.543,24.878,-999,23.8,2.2,2028,2386.6,0,-999,0,0.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000410,19921112,1992.86418,1015,31.322,64.298,38.7,23.793,36.544,36.545,24.877,210.2,23.8,1.7,2028.3,2386.2,0,-999,0,0.72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000411,19921112,1992.86418,1015,31.322,64.298,19.9,23.792,36.543,36.543,24.875,-999,23.8,1.7,2027.7,2386.6,0,-999,0,0.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005000412,19921112,1992.86418,1015,31.322,64.298,2.2,23.788,36.544,36.543,24.875,211.2,23.8,2.7,2028.5,2384.4,0,-999,0.04,0.81,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005100101,19921207,1992.9333,1540,31.759,64.15,255.1,18.458,36.589,36.588,26.387,206,18.4,-23.2,2082.2,2392.8,3.16,-999,0.16,1.29,-999,-999,-999,-999,-999,0.003,-999,-999,-999,-999,-999,-999,-999,-999
1005100102,19921207,1992.9333,1540,31.759,64.15,199.9,18.778,36.618,36.618,26.326,203.1,18.8,-24.7,2082.6,2397.6,2.6,-999,0.13,1.09,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1005100103,19921207,1992.9333,1540,31.759,64.15,160.4,19.158,36.633,36.633,26.238,201.4,19.2,-24.8,2080,2396.6,2.08,-999,0.09,0.94,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
