"No","NN.sigma_1800_today","lat","long"
263,0.00263287099892184,-66.013,360.12
264,0.0085142382531849,-66.498,359.99
265,0.00529380673770925,-67.002,360
266,0.000259179142457416,-67.496,360.01
267,0.0419289735502335,-68.001,360
268,0.0418270825822112,-68.501,360
269,0.121886241478,-68.75,360
270,0.0125430783096636,-69.016,360
271,0.00102798622084941,-71.007,348.24
272,0.00528476345767567,-70.941,348.04
273,0.000822159588119607,-70.773,347.54
274,0.0019069804895552,-70.664,347.21
275,0.016088429393383,-70.304,346.14
276,0.0235881158480492,-70.088,345.5
277,0.00944197641423507,-69.569,344.01
278,0.0114615947085659,-69.045,342.5
279,0.0117018076670104,-68.538,341.26
280,0.00407105116972275,-68.022,340.02
281,0.000446938037382682,-67.677,338.21
282,0.00115866559876815,-67.327,336.39
283,0.00032806768124799,-66.967,334.63
284,0.00547200160362369,-66.613,332.9
285,0.0033608943972042,-66.447,331.33
286,0.000601430216131237,-66.308,330.01
287,0.000573222167453129,-66.175,328.71
288,0.0113705201422608,-66.031,327.42
289,0.00585892539760679,-65.901,326.14
290,0.000647164025216981,-65.754,324.87
291,0.00110394312898619,-65.442,322.22
292,0.00647731308142874,-65.271,320.89
293,0.00518522424952391,-65.093,319.48
294,0.000514306649281489,-64.945,318.49
295,0.00142097263085927,-64.814,317.51
296,0.00479353968796613,-64.615,315.82
297,0.0027026355567592,-64.5,315
298,0.000230145592982332,-64.191,312.48
299,0.00285789869822184,-64.054,311.71
300,0.00144512553920247,-63.896,310.93
301,0.00653043305621155,-63.879,310.47
302,0.000174972013781793,-63.849,309.97
303,0.000104894908532359,-63.793,309.56
304,0.00193125645044094,-63.717,309.19
305,0.000254314593412291,-63.473,307.95
306,0.0030807872922009,-63.558,308.28
307,0.00164749100732615,-63.415,307.46
308,0.00955614503852675,-63.316,306.94
309,0.00292443663867645,-63.219,306.29
310,0.10620927686923,-63.149,305.84
311,0.00205312254779726,49.235,349.34
312,0.32409236295659,49.195,348.8
313,0.0798654858446224,49.168,348.57
314,0.229320819331994,49.107,347.8
315,0.0060833574849688,49.03,347.14
316,0.220927830719096,49.017,346.97
317,0.0748957277650862,48.795,345.74
318,0.399883186777738,48.753,345.29
319,0.255941751800489,48.518,343.77
320,0.0685476142333602,48.378,342.96
321,0.0162024176939032,48.165,341.33
322,0.271359071256721,48.02,340.34
323,0.214462208688106,47.893,339.34
324,0.00913609705093013,47.767,338.33
325,0.0247909777110364,47.632,337.41
326,0.00799187675107276,47.497,336.43
327,0.0252346087756311,47.377,335.73
328,0.045255407623418,47.277,334.98
329,0.00798805622389722,47.1,333.71
330,0.010046330172672,47.063,333.33
331,0.0208024184237866,46.912,332.7
332,0.0541182110048845,46.865,332.49
333,0.000338000171285107,46.542,330.85
334,0.000260298361134921,46.362,330.12
335,0.00129673933909354,46.08,329.24
336,0.00115989733538257,45.343,326.83
337,0.000188806472984616,45.563,327.68
338,0.013219139541775,44.903,324.95
339,0.012139902460063,43.807,321.58
340,0.0028879533459278,43.475,320.08
341,0.00731431533756059,43.13,318.98
342,0.0122590354444397,42.845,318.02
343,0.00698048739197282,42.58,317.04
344,0.00703380544247795,42.293,314.98
345,0.0387178967653667,42.365,313.97
346,0.00890084155660356,42.502,313.44
347,0.000428842443798891,43.088,311.17
348,0.003281518157501,43.135,311
349,0.000914362910209918,43.192,310.84
350,0.00553211621008303,43.335,310.42
351,0.000767591362464659,47.1,312.84
352,0.00554755307552099,47.1,312.99
353,0.00139540960158181,47.1,313.14
354,0.00012007474136522,47.1,313.29
355,4.14461798768206e-05,47.1,313.43
356,0.000122828269473707,47.1,316.7
357,0.00054593470352628,47.103,316.87
358,0.000544209033893841,47.101,317.82
359,0.0200568781225098,47.101,319.01
360,0.0167332046827203,47.233,321.7
361,0.0011936281732208,47.374,324.08
362,6.68426115412944e-05,47.549,326.68
363,0.00664373677091046,47.608,327.75
364,0.038519015658616,29.26,344.49
365,0.0205312191261336,33.01,337.98
366,0.0823856022433454,28.56,347.47
367,0.0233667837256673,28.66,346.99
368,0.00704243716008764,28.77,346.44
369,0.209846287337692,28.88,345.89
370,0.0758978455832196,29.02,345.27
371,0.0234867567313523,29.17,344.5
372,0.0391221076328527,29.17,343.44
373,0.00613485098736936,29.17,342
374,0.0265818331195742,30.25,341.99
375,0.132081810325724,31.25,342
376,0.00802130286820303,32.25,342
377,0.00839121345431896,32.25,343.17
