"No","NN.sigma","lat","long"
328,0.000551235273055648,47.277,334.98
329,0.0254701927447987,47.1,333.71
330,0.0221702696102112,47.063,333.33
331,0.00420095364314807,46.912,332.7
332,0.0026386668955939,46.865,332.49
333,0.00201719812207882,46.542,330.85
334,8.4982879020473e-05,46.362,330.12
335,0.00149835262117681,46.08,329.24
336,0.00128639225974531,45.343,326.83
337,0.00231110485067438,45.563,327.68
338,0.00279016111459027,44.903,324.95
339,0.00740760907060705,43.807,321.58
340,0.00690510698664334,43.475,320.08
341,0.00319681775925815,43.13,318.98
342,0.0037900631189869,42.845,318.02
343,0.00141154581658651,42.58,317.04
344,0.000172329968341757,42.293,314.98
345,0.000192321030533963,42.365,313.97
346,0.0146215947838869,42.502,313.44
347,0.00429688912548524,43.088,311.17
348,0.00573251846449735,43.135,311
349,0.00306735076593795,43.192,310.84
350,0.00669421060812645,43.335,310.42
351,0.00375706454156045,47.1,312.84
352,0.0297394305016981,47.1,312.99
353,0.00333977220296469,47.1,313.14
354,0.0011766064778715,47.1,313.29
355,2.31323201496525e-05,47.1,313.43
356,0.00123265211795393,47.1,316.7
357,0.000945232148167521,47.103,316.87
358,0.00509052280477545,47.101,317.82
359,0.00845229648847786,47.101,319.01
360,0.00097172898696024,47.233,321.7
361,0.0129828108912374,47.374,324.08
362,0.000811372016130294,47.549,326.68
363,0.015015477976475,47.608,327.75
364,0.00112439709551385,29.26,344.49
365,0.00553236831914118,33.01,337.98
366,0.00329743588345622,28.56,347.47
367,0.0173694498786171,28.66,346.99
368,0.00712621526483129,28.77,346.44
369,0.00722531969383997,28.88,345.89
370,0.003841473078811,29.02,345.27
371,0.00460723639763524,29.17,344.5
372,0.00811535136999257,29.17,343.44
373,0.00575418403152138,29.17,342
374,0.0822580921611198,30.25,341.99
375,0.00932696248063192,31.25,342
376,0.000405219651666825,32.25,342
377,0.0084851755921778,32.25,343.17
378,0.00781215904509992,32.25,346.83
379,0.00920706962238767,32.25,348.58
380,0.00226177228875815,32.17,349.47
381,0.000153007296486688,32.034,350.08
382,0.0152350236994901,55.58,347.4
383,0.000209077189839865,57.28,343.11
384,0.00309239240702647,59.74,336.18
385,0.0435762387082241,60.38,334.35
386,0.00132368837221287,59.67,330.18
387,0.0101260204075735,58.76,332.73
388,0.0026426600051705,57.79,335.29
389,0.00270942355917035,55.69,334.22
390,0.00395619833602791,54.92,328.35
391,0.0477367172384168,54.68,326.66
392,0.00614421739939636,53.25,329.69
393,0.00314144403394316,52.49,331.58
394,0.0119520423456019,52.87,325.08
395,0.0114136870380418,52.65,325
396,0.0224872930993243,52.1,325
397,0.0156273402513814,51.75,330
398,0.000587338101070056,52,331.04
399,0.0384245192418626,52.93,333.46
400,0.0134673547188892,51.05,339.44
401,0.00477831365607455,50.42,343.24
402,0.00393855197214361,50.72,345.8
403,0.000793241028284872,55.33,306.11
